,disc_year,releasedate,pl_name,hostname,discoverymethod,disc_facility,sy_snum,sy_pnum,pl_orbper,pl_orbsmax,pl_rade,pl_insol,pl_eqt,pl_controv_flag,pl_bmasse,soltype,gravity_multiple_of_earths_gravity
1,2009-01-01,2014-05-14,DP Leo b,DP Leo,Eclipse Timing Variations,Yunnan Astronomical Observatory,2,1,10220.0,8.19,,,,0,1922.79,Published Confirmed,
2,2011-01-01,2019-10-24,HU Aqr AB b,HU Aqr,Eclipse Timing Variations,Yunnan Astronomical Observatory,2,2,2390.0,3.6,,,,1,1875.197,Published Confirmed,
3,2011-01-01,2019-10-24,HU Aqr AB c,HU Aqr,Eclipse Timing Variations,Yunnan Astronomical Observatory,2,2,4368.0,5.4,,,,1,1430.235,Published Confirmed,
6,2007-01-01,2023-09-19,11 Com b,11 Com,Radial Velocity,Xinglong Station,2,1,323.21,1.178,,,,0,4914.89849,Published Confirmed,
8,2008-01-01,2023-09-19,HD 173416 b,HD 173416,Radial Velocity,Xinglong Station,1,1,322.03,1.158,,,,0,585.1221,Published Confirmed,
11,2006-01-01,2018-04-26,XO-1 b,XO-1,Transit,XO,1,1,3.94153,,12.778,,,0,263.7989,Published Confirmed,1.615649731165298
32,2007-01-01,2019-02-14,XO-2 N b,XO-2 N,Transit,XO,2,3,2.61586178,0.0368,11.131,,,0,179.89178,Published Confirmed,1.4519208891172395
53,2007-01-01,2018-04-26,XO-3 b,XO-3,Transit,XO,1,1,3.19154,,15.805,,,0,2316.9807,Published Confirmed,9.275416408916763
56,2008-01-01,2015-02-12,XO-5 b,XO-5,Transit,XO,1,1,4.1877558,0.0515,12.78,,1230.0,0,378.2,Published Confirmed,2.315580144053331
70,2016-01-01,2016-12-21,XO-6 b,XO-6,Transit,XO,1,1,3.7650007,0.0815,23.203,,1577.0,0,1398.452,Published Confirmed,2.597522297708194
72,2019-01-01,2020-01-16,XO-7 b,XO-7,Transit,XO,1,1,2.8641424,0.04421,15.39,1540.0,1743.0,0,225.34147,Published Confirmed,0.9514016130741504
77,2019-01-01,2019-10-24,NY Vir c,NY Vir,Eclipse Timing Variations,Winer Observatory,2,2,8799.0,,,,,0,1760.7782,Published Confirmed,
78,2021-01-01,2022-01-10,BD+60 1417 b,BD+60 1417,Imaging,Wide-field Infrared Survey Explorer (WISE) Sat,1,1,,1662.0,14.684,,1303.0,0,4767.4261,Published Confirmed,22.11032967205024
81,2019-01-01,2019-07-25,WASP-166 b,WASP-166,Transit,WASP-South,1,1,5.44354,0.0641,7.062,440.0,1270.0,0,32.10083,Published Confirmed,0.6436663942083233
85,2019-01-01,2019-09-12,WASP-169 b,WASP-169,Transit,WASP-South,1,1,5.6114118,0.0681,14.617,,1604.0,0,178.30263,Published Confirmed,0.8345286582626018
90,2019-01-01,2019-09-12,WASP-171 b,WASP-171,Transit,WASP-South,1,1,3.8186244,0.0504,10.985,,1642.0,0,344.52772,Published Confirmed,2.85511790501758
94,2019-01-01,2019-09-12,WASP-175 b,WASP-175,Transit,WASP-South,1,1,3.0652907,0.04403,13.54,,1571.0,0,314.6517,Published Confirmed,1.7162982268195992
95,2019-01-01,2019-10-10,WASP-178 b,WASP-178,Transit,WASP-South,1,1,3.3448285,0.0558,20.288,,2470.0,0,527.5978,Published Confirmed,1.281812503265283
100,2019-01-01,2019-09-12,WASP-182 b,WASP-182,Transit,WASP-South,1,1,3.3769848,0.0451,9.528,,1479.0,0,47.03884,Published Confirmed,0.5181471412024553
103,2019-01-01,2019-10-10,WASP-184 b,WASP-184,Transit,WASP-South,1,1,5.1817,0.0627,14.908,,1480.0,0,181.1631,Published Confirmed,0.8151376920202246
106,2019-01-01,2019-10-10,WASP-185 b,WASP-185,Transit,WASP-South,1,1,9.38755,0.0904,14.011,,1160.0,0,311.4734,Published Confirmed,1.5866557043760814
109,2019-01-01,2019-03-05,WASP-190 b,WASP-190,Transit,WASP-South,1,1,5.367753,0.0663,12.89,,1500.0,0,317.83,Published Confirmed,1.912885843754006
113,2019-01-01,2019-10-10,WASP-192 b,WASP-192,Transit,WASP-South,1,1,2.8786765,0.0408,13.787,,1620.0,0,731.009,Published Confirmed,3.84576880862006
117,2023-01-01,2023-07-26,WASP-193 b,WASP-193,Transit,WASP-South,1,1,6.2463345,0.0676,16.41,413.0,1254.0,0,44.17815,Published Confirmed,0.16405533701637762
120,2002-01-01,2023-06-12,14 Her b,14 Her,Radial Velocity,W. M. Keck Observatory,1,2,1765.0389,2.774,,,,0,2559.47216,Published Confirmed,
127,2013-01-01,2014-05-14,2MASS J01225093-2439505 b,2MASS J01225093-2439505,Imaging,W. M. Keck Observatory,1,1,,52.0,,,,0,7786.5,Published Confirmed,
128,2016-01-01,2016-11-10,2MASS J22362452+4751425 b,2MASS J22362452+4751425,Imaging,W. M. Keck Observatory,1,1,,230.0,,,,0,3972.875,Published Confirmed,
130,2000-01-01,2018-09-06,BD-10 3166 b,BD-10 3166,Radial Velocity,W. M. Keck Observatory,1,1,3.48777,0.04,,,,0,187.5197,Published Confirmed,
133,2011-01-01,2014-05-14,CFBDSIR J145829+101343 b,CFBDSIR J145829+101343,Imaging,W. M. Keck Observatory,1,1,10037.5,2.6,,,370.0,0,3337.1,Published Confirmed,
136,2010-01-01,2017-10-19,GJ 1148 b,GJ 1148,Radial Velocity,W. M. Keck Observatory,1,2,41.38,0.166,,,,0,96.7,Published Confirmed,
137,2014-01-01,2019-10-10,GJ 15 A b,GJ 15 A,Radial Velocity,W. M. Keck Observatory,2,2,11.4407,0.072,,,,1,3.03,Published Confirmed,
140,2009-01-01,2014-05-14,GJ 179 b,GJ 179,Radial Velocity,W. M. Keck Observatory,1,1,2288.0,2.41,,,,0,260.61,Published Confirmed,
143,2020-01-01,2021-03-04,GJ 251 b,GJ 251,Radial Velocity,W. M. Keck Observatory,1,1,14.238,0.0818,,2.53,351.0,0,4.0,Published Confirmed,
147,2007-01-01,2020-09-03,GJ 317 b,GJ 317,Radial Velocity,W. M. Keck Observatory,1,2,695.66,1.151,,,,0,557.1,Published Confirmed,
150,2018-01-01,2020-09-03,GJ 317 c,GJ 317,Radial Velocity,W. M. Keck Observatory,1,2,6739.323,5.23,,,,0,522.5,Published Confirmed,
153,2021-01-01,2021-04-01,GJ 414 A b,GJ 414 A,Radial Velocity,W. M. Keck Observatory,2,2,50.8,0.2324,2.63,,309.0,0,7.6,Published Confirmed,1.0987581141840999
154,2021-01-01,2021-04-01,GJ 414 A c,GJ 414 A,Radial Velocity,W. M. Keck Observatory,2,2,749.83,1.4,8.4,,125.0,0,53.83,Published Confirmed,0.7628968253968252
165,2004-01-01,2015-02-05,GJ 436 b,GJ 436,Radial Velocity,W. M. Keck Observatory,1,1,2.64388312,0.0291,4.17,,,0,22.1,Published Confirmed,1.2709257054787826
178,2009-01-01,2023-07-10,GJ 649 b,GJ 649,Radial Velocity,W. M. Keck Observatory,1,1,600.1,1.112,,,,0,81.99973,Published Confirmed,
181,2006-01-01,2023-07-10,GJ 849 b,GJ 849,Radial Velocity,W. M. Keck Observatory,1,2,1925.31,2.32,,,,0,283.82077,Published Confirmed,
189,2014-01-01,2023-10-21,GJ 849 c,GJ 849,Radial Velocity,W. M. Keck Observatory,1,2,5990.0,4.95,,,,0,314.65012,Published Confirmed,
196,2005-01-01,2014-08-27,GJ 876 d,GJ 876,Radial Velocity,W. M. Keck Observatory,1,4,1.93778,0.020807,,,,0,6.83,Published Confirmed,
200,2010-01-01,2014-08-27,GJ 876 e,GJ 876,Radial Velocity,W. M. Keck Observatory,1,4,124.26,0.3343,,,,0,14.6,Published Confirmed,
202,2018-01-01,2019-01-31,HAT-P-11 c,HAT-P-11,Radial Velocity,W. M. Keck Observatory,1,2,3407.0,4.13,,,,0,507.0,Published Confirmed,
206,2009-01-01,2019-01-31,HAT-P-13 c,HAT-P-13,Radial Velocity,W. M. Keck Observatory,1,2,446.27,,,,,0,4538.421,Published Confirmed,
209,2010-01-01,2014-05-14,HAT-P-17 c,HAT-P-17,Radial Velocity,W. M. Keck Observatory,1,2,5584.0,5.6,,,,0,1080.6,Published Confirmed,
210,2014-01-01,2014-05-14,HAT-P-44 c,HAT-P-44,Radial Velocity,W. M. Keck Observatory,1,2,872.2,1.752,,,,0,1271.3,Published Confirmed,
212,2011-01-01,2018-09-06,HD 102329 b,HD 102329,Radial Velocity,W. M. Keck Observatory,1,2,778.09998,1.81,,,,0,2593.4928,Published Confirmed,
213,2018-01-01,2018-11-29,HD 102329 c,HD 102329,Radial Velocity,W. M. Keck Observatory,1,2,1123.0,,,,,0,483.1016,Published Confirmed,
214,2010-01-01,2018-12-06,HD 102956 b,HD 102956,Radial Velocity,W. M. Keck Observatory,2,1,6.4947,0.0807,,,,0,305.1168,Published Confirmed,
217,2014-01-01,2018-12-06,HD 10442 b,HD 10442,Radial Velocity,W. M. Keck Observatory,1,1,1032.3,2.01,,,,0,472.61321,Published Confirmed,
222,2011-01-01,2018-12-06,HD 106270 b,HD 106270,Radial Velocity,W. M. Keck Observatory,1,1,1888.0,3.34,,,,0,3219.6179,Published Confirmed,
225,2006-01-01,2014-05-14,HD 10647 b,HD 10647,Radial Velocity,W. M. Keck Observatory,1,1,989.2,2.015,,,,0,298.75,Published Confirmed,
231,1999-01-01,2023-06-12,HD 10697 b,HD 10697,Radial Velocity,W. M. Keck Observatory,1,1,1075.3799,2.051,,,,0,1825.28854,Published Confirmed,
234,2005-01-01,2014-05-14,HD 107148 b,HD 107148,Radial Velocity,W. M. Keck Observatory,2,2,48.056,0.269,,,,0,66.741,Published Confirmed,
237,2011-01-01,2018-12-06,HD 108863 b,HD 108863,Radial Velocity,W. M. Keck Observatory,1,1,437.7,1.32,,,,0,767.24162,Published Confirmed,
241,2002-01-01,2018-09-06,HD 108874 b,HD 108874,Radial Velocity,W. M. Keck Observatory,1,2,394.48123,1.04,,,,0,451.3186,Published Confirmed,
249,2005-01-01,2014-05-14,HD 108874 c,HD 108874,Radial Velocity,W. M. Keck Observatory,1,2,1624.0,2.659,,,,0,314.64,Published Confirmed,
252,2005-01-01,2018-09-27,HD 109749 b,HD 109749,Radial Velocity,W. M. Keck Observatory,2,1,5.239891,0.0615,,,,0,85.8141,Published Confirmed,
257,2002-01-01,2019-06-27,HD 114729 b,HD 114729,Radial Velocity,W. M. Keck Observatory,2,1,1121.79,2.067,,,,0,262.20975,Published Confirmed,
261,2001-01-01,2014-05-14,HD 114783 b,HD 114783,Radial Velocity,W. M. Keck Observatory,1,2,493.7,1.16,,,,0,349.6,Published Confirmed,
262,2018-01-01,2023-09-05,HD 114783 c,HD 114783,Radial Velocity,W. M. Keck Observatory,1,2,4352.0,5.0,,,,0,603.87397,Published Confirmed,
266,2007-01-01,2023-06-12,HD 11506 b,HD 11506,Radial Velocity,W. M. Keck Observatory,1,3,1613.74017,2.8,,,,0,1551.00263,Published Confirmed,
271,2008-01-01,2023-06-14,HD 11506 c,HD 11506,Radial Velocity,W. M. Keck Observatory,1,3,223.95986,0.75,,,,0,117.27868,Published Confirmed,
276,2011-01-01,2018-09-06,HD 116029 b,HD 116029,Radial Velocity,W. M. Keck Observatory,2,2,670.0,1.65,,,,0,444.962,Published Confirmed,
277,2018-01-01,2018-11-29,HD 116029 c,HD 116029,Radial Velocity,W. M. Keck Observatory,2,2,907.0,,,,,0,403.6441,Published Confirmed,
284,2004-01-01,2019-06-27,HD 117207 b,HD 117207,Radial Velocity,W. M. Keck Observatory,1,1,2621.75,3.787,,,,0,612.14058,Published Confirmed,
286,2005-01-01,2019-01-31,HD 11964 b,HD 11964,Radial Velocity,W. M. Keck Observatory,2,2,1945.0,3.16,,,,0,198.0,Published Confirmed,
290,2008-01-01,2019-01-31,HD 11964 c,HD 11964,Radial Velocity,W. M. Keck Observatory,2,2,37.91,0.229,,,,0,25.0,Published Confirmed,
293,2019-01-01,2023-06-12,HD 125390 b,HD 125390,Radial Velocity,W. M. Keck Observatory,1,1,1757.39151,3.496,,,,0,8646.20398,Published Confirmed,
297,2007-01-01,2023-06-14,HD 125612 b,HD 125612,Radial Velocity,W. M. Keck Observatory,2,3,557.69994,1.349,,,,0,945.22168,Published Confirmed,
302,2009-01-01,2023-06-12,HD 126614 b,HD 126614,Radial Velocity,W. M. Keck Observatory,3,1,1257.25303,2.249,,,,0,107.74383,Published Confirmed,
306,2002-01-01,2015-06-25,HD 128311 b,HD 128311,Radial Velocity,W. M. Keck Observatory,1,2,453.019,1.084,,,,0,562.24127,Published Confirmed,
310,2005-01-01,2015-06-25,HD 128311 c,HD 128311,Radial Velocity,W. M. Keck Observatory,1,2,921.538,1.74,,,,0,1204.25787,Published Confirmed,
315,2011-01-01,2018-12-06,HD 131496 b,HD 131496,Radial Velocity,W. M. Keck Observatory,1,1,896.0,2.01,,,,0,572.094,Published Confirmed,
317,2018-01-01,2018-12-06,HD 13167 b,HD 13167,Radial Velocity,W. M. Keck Observatory,1,1,2613.0,4.1,,,,0,1052.0173,Published Confirmed,
320,1999-01-01,2018-09-06,HD 134987 b,HD 134987,Radial Velocity,W. M. Keck Observatory,1,2,258.17999,0.81,,,,0,511.7063,Published Confirmed,
323,2009-01-01,2018-09-06,HD 136418 b,HD 136418,Radial Velocity,W. M. Keck Observatory,1,1,464.29999,1.29,,,,0,680.1562,Published Confirmed,
327,2009-01-01,2018-09-06,HD 13931 b,HD 13931,Radial Velocity,W. M. Keck Observatory,1,1,4218.0,5.15,,,,0,699.226,Published Confirmed,
331,2011-01-01,2018-09-06,HD 142245 b,HD 142245,Radial Velocity,W. M. Keck Observatory,3,1,1299.0,2.78,,,,0,975.7381,Published Confirmed,
334,2015-01-01,2023-06-12,HD 145934 b,HD 145934,Radial Velocity,W. M. Keck Observatory,1,1,2751.53433,4.89,,,,0,658.54046,Published Confirmed,
337,2010-01-01,2015-11-19,HD 1461 b,HD 1461,Radial Velocity,W. M. Keck Observatory,1,2,5.77152,0.0634,,,,0,6.44,Published Confirmed,
339,2018-01-01,2018-12-06,HD 14787 b,HD 14787,Radial Velocity,W. M. Keck Observatory,1,1,676.6,1.7,,,,0,356.28743,Published Confirmed,
340,2018-01-01,2018-09-27,HD 148164 b,HD 148164,Radial Velocity,W. M. Keck Observatory,1,2,328.55,0.993,,,,0,390.9309,Published Confirmed,
341,2018-01-01,2018-09-27,HD 148164 c,HD 148164,Radial Velocity,W. M. Keck Observatory,1,2,5062.0,6.15,,,,0,1640.0028,Published Confirmed,
343,2011-01-01,2018-12-06,HD 1502 b,HD 1502,Radial Velocity,W. M. Keck Observatory,1,1,428.5,1.262,,,,0,874.0325,Published Confirmed,
344,2011-01-01,2018-12-06,HD 152581 b,HD 152581,Radial Velocity,W. M. Keck Observatory,1,1,686.5,1.66,,,,0,594.02427,Published Confirmed,
349,2006-01-01,2018-09-06,HD 154345 b,HD 154345,Radial Velocity,W. M. Keck Observatory,1,1,3341.55884,4.21,,,,0,260.6206,Published Confirmed,
354,2018-01-01,2023-06-12,HD 156279 c,HD 156279,Radial Velocity,W. M. Keck Observatory,1,2,4818.25358,5.486,,,,0,3098.82697,Published Confirmed,
357,2010-01-01,2019-01-31,HD 156668 b,HD 156668,Radial Velocity,W. M. Keck Observatory,1,2,4.6455,0.05,,,,0,4.15,Published Confirmed,
360,2011-01-01,2018-09-06,HD 158038 b,HD 158038,Radial Velocity,W. M. Keck Observatory,1,1,521.0,1.5,,,,0,486.2799,Published Confirmed,
363,2000-01-01,2018-09-06,HD 16141 b,HD 16141,Radial Velocity,W. M. Keck Observatory,2,1,75.523,0.36,,,,0,82.6358,Published Confirmed,
365,2010-01-01,2018-12-06,HD 163607 b,HD 163607,Radial Velocity,W. M. Keck Observatory,1,2,75.2203,0.362,,,,0,249.05159,Published Confirmed,
368,2010-01-01,2018-12-06,HD 163607 c,HD 163607,Radial Velocity,W. M. Keck Observatory,1,2,1272.0,2.39,,,,0,699.54383,Published Confirmed,
371,2010-01-01,2018-09-27,HD 164509 b,HD 164509,Radial Velocity,W. M. Keck Observatory,2,1,280.17,0.87,,,,0,140.79869,Published Confirmed,
372,2005-01-01,2020-05-21,HD 164922 b,HD 164922,Radial Velocity,W. M. Keck Observatory,1,4,1207.0,2.16,,,,0,116.0,Published Confirmed,
380,1998-01-01,2023-06-14,HD 168443 b,HD 168443,Radial Velocity,W. M. Keck Observatory,1,2,58.11187,0.292,,,,0,2424.39509,Published Confirmed,
384,2000-01-01,2023-06-12,HD 168443 c,HD 168443,Radial Velocity,W. M. Keck Observatory,1,2,1753.1096,2.842,,,,0,5500.33841,Published Confirmed,
389,2007-01-01,2018-09-06,HD 170469 b,HD 170469,Radial Velocity,W. M. Keck Observatory,2,1,1145.0,2.24,,,,0,209.7678,Published Confirmed,
394,2007-01-01,2018-12-06,HD 175541 b,HD 175541,Radial Velocity,W. M. Keck Observatory,1,1,298.43,0.975,,,,0,190.06234,Published Confirmed,
397,1999-01-01,2018-09-06,HD 177830 b,HD 177830,Radial Velocity,W. M. Keck Observatory,2,2,410.10001,1.14,,,,0,537.1327,Published Confirmed,
400,2010-01-01,2019-01-31,HD 177830 c,HD 177830,Radial Velocity,W. M. Keck Observatory,2,2,110.9,0.5137,,,,0,47.6725,Published Confirmed,
402,2001-01-01,2018-09-06,HD 178911 B b,HD 178911 B,Radial Velocity,W. M. Keck Observatory,3,1,71.484,0.34,,,,0,2552.1749,Published Confirmed,
408,2008-01-01,2018-09-27,HD 179079 b,HD 179079,Radial Velocity,W. M. Keck Observatory,1,1,14.479,0.1214,,,,0,25.74423,Published Confirmed,
410,2018-01-01,2018-12-06,HD 180053 b,HD 180053,Radial Velocity,W. M. Keck Observatory,1,1,213.72,0.843,,,,0,697.31902,Published Confirmed,
411,2018-01-01,2018-12-06,HD 18015 b,HD 18015,Radial Velocity,W. M. Keck Observatory,1,1,2278.0,3.87,,,,0,1010.6994,Published Confirmed,
414,2009-01-01,2018-12-06,HD 180902 b,HD 180902,Radial Velocity,W. M. Keck Observatory,2,1,510.9,1.4,,,,0,535.54355,Published Confirmed,
419,2009-01-01,2018-12-06,HD 181342 b,HD 181342,Radial Velocity,W. M. Keck Observatory,1,1,564.1,1.592,,,,0,807.2882,Published Confirmed,
421,2004-01-01,2023-06-14,HD 183263 b,HD 183263,Radial Velocity,W. M. Keck Observatory,1,2,624.87404,1.46,,,,0,1103.1824,Published Confirmed,
431,2008-01-01,2023-06-12,HD 183263 c,HD 183263,Radial Velocity,W. M. Keck Observatory,1,2,4667.97841,5.585,,,,0,2958.98247,Published Confirmed,
436,1998-01-01,2014-07-23,HD 187123 b,HD 187123,Radial Velocity,W. M. Keck Observatory,1,2,3.0965828,0.0426,,,,0,166.218,Published Confirmed,
440,2008-01-01,2014-07-23,HD 187123 c,HD 187123,Radial Velocity,W. M. Keck Observatory,1,2,3810.0,4.89,,,,0,632.46,Published Confirmed,
444,2011-01-01,2018-12-06,HD 18742 b,HD 18742,Radial Velocity,W. M. Keck Observatory,1,1,766.0,1.82,,,,0,1080.622,Published Confirmed,
446,2004-01-01,2014-07-23,HD 188015 b,HD 188015,Radial Velocity,W. M. Keck Observatory,2,1,461.2,1.203,,,,0,476.72,Published Confirmed,
449,2005-01-01,2014-08-21,HD 190360 c,HD 190360,Radial Velocity,W. M. Keck Observatory,2,2,17.111,0.1304,,,,0,19.069,Published Confirmed,
452,2022-01-01,2022-11-14,HD 191939 e,HD 191939,Radial Velocity,W. M. Keck Observatory,1,6,101.12,0.407,,3.9,390.0,0,112.2,Published Confirmed,
456,2022-01-01,2022-11-14,HD 191939 f,HD 191939,Radial Velocity,W. M. Keck Observatory,1,6,2200.0,3.2,,,125.0,0,660.0,Published Confirmed,
457,2019-01-01,2019-01-17,HD 202696 b,HD 202696,Radial Velocity,W. M. Keck Observatory,1,2,517.8,1.566,,,,0,634.38868,Published Confirmed,
458,2019-01-01,2019-01-17,HD 202696 c,HD 202696,Radial Velocity,W. M. Keck Observatory,1,2,946.6,2.342,,,,0,592.43512,Published Confirmed,
459,2009-01-01,2018-12-06,HD 206610 b,HD 206610,Radial Velocity,W. M. Keck Observatory,1,1,673.2,1.74,,,,0,647.10188,Published Confirmed,
464,2012-01-01,2018-09-27,HD 207832 b,HD 207832,Radial Velocity,W. M. Keck Observatory,3,2,160.07,0.586,,,,0,177.9848,Published Confirmed,
465,2012-01-01,2015-09-10,HD 207832 c,HD 207832,Radial Velocity,W. M. Keck Observatory,3,2,1155.7,2.112,,,,0,232.0159,Published Confirmed,
481,1999-01-01,2018-12-06,HD 209458 b,HD 209458,Radial Velocity,W. M. Keck Observatory,1,1,3.52474859,,15.581,,,0,232.0159,Published Confirmed,0.9557121183913034
490,1998-01-01,2018-09-06,HD 210277 b,HD 210277,Radial Velocity,W. M. Keck Observatory,1,1,442.19,1.13,,,,0,410.0007,Published Confirmed,
493,2018-01-01,2018-09-27,HD 211810 b,HD 211810,Radial Velocity,W. M. Keck Observatory,1,1,1558.0,2.656,,,,0,212.9461,Published Confirmed,
495,2009-01-01,2018-12-06,HD 212771 b,HD 212771,Radial Velocity,W. M. Keck Observatory,1,1,380.7,1.19,,,,0,759.6137,Published Confirmed,
498,2010-01-01,2018-09-06,HD 218566 b,HD 218566,Radial Velocity,W. M. Keck Observatory,1,1,225.7,0.69,,,,0,63.566,Published Confirmed,
502,1999-01-01,2018-09-06,HD 222582 b,HD 222582,Radial Velocity,W. M. Keck Observatory,2,1,572.38,1.34,,,,0,2660.2371,Published Confirmed,
504,2006-01-01,2018-09-27,HD 224693 b,HD 224693,Radial Velocity,W. M. Keck Observatory,1,1,26.6904,0.191,,,,0,222.481,Published Confirmed,
508,2007-01-01,2018-09-27,HD 231701 b,HD 231701,Radial Velocity,W. M. Keck Observatory,1,1,141.63,0.567,,,,0,359.1479,Published Confirmed,
512,2006-01-01,2018-09-06,HD 24040 b,HD 24040,Radial Velocity,W. M. Keck Observatory,1,2,3668.0,4.92,,,,0,1226.8238,Published Confirmed,
514,2011-01-01,2018-12-06,HD 28678 b,HD 28678,Radial Velocity,W. M. Keck Observatory,1,1,380.2,1.18,,,,0,490.09386,Published Confirmed,
517,2011-01-01,2018-12-06,HD 30856 b,HD 30856,Radial Velocity,W. M. Keck Observatory,2,1,847.0,1.85,,,,0,491.68301,Published Confirmed,
521,2010-01-01,2018-09-06,HD 31253 b,HD 31253,Radial Velocity,W. M. Keck Observatory,1,1,466.0,1.26,,,,0,197.0546,Published Confirmed,
524,2015-01-01,2016-01-05,HD 32963 b,HD 32963,Radial Velocity,W. M. Keck Observatory,1,1,2372.0,3.41,,,,0,222.481,Published Confirmed,
528,2011-01-01,2022-06-27,HD 33142 b,HD 33142,Radial Velocity,W. M. Keck Observatory,1,3,330.0,1.074,,,,0,400.46379,Published Confirmed,
530,2018-01-01,2022-06-27,HD 33142 c,HD 33142,Radial Velocity,W. M. Keck Observatory,1,3,810.2,1.955,,,,0,282.86728,Published Confirmed,
534,2006-01-01,2018-09-27,HD 33283 b,HD 33283,Radial Velocity,W. M. Keck Observatory,2,1,18.1991,0.1508,,,,0,104.56607,Published Confirmed,
535,2009-01-01,2018-09-06,HD 34445 b,HD 34445,Radial Velocity,W. M. Keck Observatory,1,6,1049.0,2.07,,,,0,260.6206,Published Confirmed,
541,2002-01-01,2016-08-18,HD 37124 b,HD 37124,Radial Velocity,W. M. Keck Observatory,1,3,154.378,0.53364,,,,0,214.53525,Published Confirmed,
548,2002-01-01,2016-08-18,HD 37124 c,HD 37124,Radial Velocity,W. M. Keck Observatory,1,3,885.5,1.71,,,,0,207.22516,Published Confirmed,
551,2005-01-01,2016-08-18,HD 37124 d,HD 37124,Radial Velocity,W. M. Keck Observatory,1,3,1862.0,2.807,,,,0,221.20968,Published Confirmed,
553,2001-01-01,2018-09-06,HD 4203 b,HD 4203,Radial Velocity,W. M. Keck Observatory,1,2,431.88,1.17,,,,0,708.7609,Published Confirmed,
559,2014-01-01,2014-05-14,HD 4203 c,HD 4203,Radial Velocity,W. M. Keck Observatory,1,2,6700.0,6.95,,,,0,689.66,Published Confirmed,
562,2001-01-01,2019-06-27,HD 4208 b,HD 4208,Radial Velocity,W. M. Keck Observatory,1,1,832.97,1.662,,,,0,257.4423,Published Confirmed,
566,2009-01-01,2018-12-06,HD 4313 b,HD 4313,Radial Velocity,W. M. Keck Observatory,1,1,356.21,1.157,,,,0,612.45841,Published Confirmed,
572,2004-01-01,2014-09-18,HD 45350 b,HD 45350,Radial Velocity,W. M. Keck Observatory,1,1,963.6,1.92,,,,0,568.89,Published Confirmed,
575,2000-01-01,2014-07-23,HD 46375 b,HD 46375,Radial Velocity,W. M. Keck Observatory,2,1,3.023573,0.0398,,,,0,71.8,Published Confirmed,
576,2018-01-01,2018-12-06,HD 4917 b,HD 4917,Radial Velocity,W. M. Keck Observatory,1,1,400.5,1.167,,,,0,513.29545,Published Confirmed,
581,2002-01-01,2018-09-06,HD 49674 b,HD 49674,Radial Velocity,W. M. Keck Observatory,1,1,4.94737,0.06,,,,0,31.783,Published Confirmed,
583,2005-01-01,2019-06-27,HD 50499 b,HD 50499,Radial Velocity,W. M. Keck Observatory,1,2,2447.1,3.833,,,,0,519.96988,Published Confirmed,
592,2000-01-01,2019-03-14,HD 52265 b,HD 52265,Radial Velocity,W. M. Keck Observatory,1,1,119.27,0.52,,,,0,384.5743,Published Confirmed,
594,2007-01-01,2018-12-06,HD 5319 b,HD 5319,Radial Velocity,W. M. Keck Observatory,1,2,637.1,1.57,,,,0,494.54348,Published Confirmed,
598,2014-01-01,2018-12-06,HD 5319 c,HD 5319,Radial Velocity,W. M. Keck Observatory,1,2,872.2,1.93,,,,0,334.67499,Published Confirmed,
601,2018-01-01,2018-09-27,HD 55696 b,HD 55696,Radial Velocity,W. M. Keck Observatory,1,1,1827.0,3.18,,,,0,1230.0021,Published Confirmed,
604,2011-01-01,2018-09-06,HD 5891 b,HD 5891,Radial Velocity,W. M. Keck Observatory,1,1,177.11,0.64,,,,0,2425.0429,Published Confirmed,
606,2005-01-01,2023-06-12,HD 66428 b,HD 66428,Radial Velocity,W. M. Keck Observatory,1,2,2269.81726,3.395,,,,0,3478.94974,Published Confirmed,
612,2018-01-01,2018-12-06,HD 72490 b,HD 72490,Radial Velocity,W. M. Keck Observatory,1,1,858.0,1.88,,,,0,561.92344,Published Confirmed,
613,2002-01-01,2023-06-12,HD 72659 b,HD 72659,Radial Velocity,W. M. Keck Observatory,1,2,3549.39854,4.691,,,,0,949.67128,Published Confirmed,
621,2008-01-01,2018-12-06,HD 73534 b,HD 73534,Radial Velocity,W. M. Keck Observatory,1,1,1750.0,2.99,,,,0,353.42696,Published Confirmed,
626,2014-01-01,2018-12-06,HD 75784 b,HD 75784,Radial Velocity,W. M. Keck Observatory,1,2,341.2,1.032,,,,0,317.83,Published Confirmed,
631,2018-01-01,2018-12-06,HD 75784 c,HD 75784,Radial Velocity,W. M. Keck Observatory,1,2,7900.0,8.4,,,,0,1792.5612,Published Confirmed,
634,2007-01-01,2018-09-27,HD 75898 b,HD 75898,Radial Velocity,W. M. Keck Observatory,1,1,422.9,1.191,,,,0,861.3193,Published Confirmed,
638,2008-01-01,2018-09-06,HD 7924 b,HD 7924,Radial Velocity,W. M. Keck Observatory,1,3,5.39792,0.06,,,,0,6.3566,Published Confirmed,
641,2015-01-01,2015-05-14,HD 7924 c,HD 7924,Radial Velocity,W. M. Keck Observatory,1,3,15.299,0.1134,,28.35,584.0,0,7.86,Published Confirmed,
643,2015-01-01,2015-05-14,HD 7924 d,HD 7924,Radial Velocity,W. M. Keck Observatory,1,3,24.451,0.1551,,15.17,499.0,0,6.44,Published Confirmed,
645,2011-01-01,2018-09-06,HD 82886 b,HD 82886,Radial Velocity,W. M. Keck Observatory,1,1,705.0,1.58,,,,0,740.5439,Published Confirmed,
